anime_id,genre_id
32281,0
32281,1
32281,2
32281,3
5114,4
5114,5
5114,0
5114,6
5114,7
5114,8
5114,9
28977,4
28977,10
28977,11
28977,12
28977,13
28977,14
28977,9
9253,14
9253,15
9969,4
9969,10
9969,11
9969,12
9969,13
9969,14
9969,9
32935,10
32935,0
32935,2
32935,9
32935,16
11061,4
11061,5
11061,9
11061,17
11061,18
820,0
820,8
820,14
820,19
15335,4
15335,10
15335,11
15335,12
15335,13
15335,14
15335,9
15417,4
15417,10
15417,11
15417,12
15417,13
15417,14
15417,9
4181,0
4181,6
4181,1
4181,20
4181,21
4181,22
4181,3
28851,0
28851,2
28851,9
918,4
918,10
918,11
918,12
918,13
918,14
918,9
2904,4
2904,0
2904,23
2904,8
2904,14
2904,17
2904,18
28891,10
28891,0
28891,2
28891,9
28891,16
199,5
199,0
199,3
23273,0
23273,24
23273,1
23273,2
23273,9
24701,5
24701,6
24701,11
24701,25
24701,26
24701,20
24701,21
24701,22
24701,3
12355,6
12355,20
12355,21
12355,22
1575,4
1575,23
1575,8
1575,2
1575,14
1575,17
1575,18
263,10
263,0
263,9
263,16
44,4
44,0
44,11
44,27
44,28
44,1
44,13
1,4
1,5
1,10
1,0
1,14
1,19
30276,4
30276,10
30276,12
30276,14
30276,26
30276,17
30276,18
30276,3
164,4
164,5
164,6
7311,10
7311,25
7311,1
7311,2
7311,14
7311,3
17074,10
17074,25
17074,1
17074,3
17074,29
21939,5
21939,6
21939,11
21939,25
21939,26
21939,20
21939,21
21939,22
21939,3
457,5
457,6
457,11
457,25
457,26
457,20
457,21
457,22
457,3
2001,4
2001,5
2001,10
2001,23
2001,14
245,10
245,0
245,2
245,9
245,20
245,21
245,22
32983,0
32983,6
32983,30
32983,20
32983,21
32983,22
32983,3
5258,10
5258,0
5258,9
5258,16
28957,5
28957,6
28957,11
28957,25
28957,26
28957,20
28957,21
28957,22
28957,3
11665,0
11665,6
11665,30
11665,20
11665,21
11665,22
11665,3
431,5
431,0
431,6
431,1
11741,4
11741,6
11741,3
11741,15
31757,4
31757,25
31757,3
31757,29
19,0
19,31
19,25
19,32
19,33
19,26
19,15
12365,10
12365,0
12365,1
12365,9
1535,25
1535,32
1535,33
1535,3
1535,15
32366,10
32366,12
30654,4
30654,10
30654,2
30654,9
20583,10
20583,0
20583,2
20583,9
20583,16
19647,10
19647,0
19647,9
19647,16
4282,4
4282,0
4282,25
4282,1
4282,3
4282,15
10379,0
10379,6
10379,30
10379,20
10379,21
10379,22
10379,3
22135,33
22135,26
22135,16
21329,5
21329,6
21329,11
21329,25
21329,26
21329,20
21329,21
21329,22
21329,3
31043,25
31043,33
31043,26
31043,3
7785,25
7785,33
7785,1
3297,6
3297,14
3297,9
3297,20
3297,21
3297,22
30709,10
30709,34
30709,6
30709,30
30709,3
6114,0
6114,11
6114,26
6114,15
31240,0
31240,6
31240,33
31240,15
4565,4
4565,23
4565,14
4565,19
4565,17
4565,18
5300,0
5300,6
5300,30
5300,20
5300,21
5300,22
5300,3
9989,0
9989,20
9989,21
9989,22
9989,3
24415,10
24415,2
24415,9
24415,16
11577,14
11577,15
10408,0
10408,1
10408,30
10408,3
28171,35
28171,2
28171,9
32995,10
32995,16
21899,4
21899,10
21899,11
21899,12
21899,13
21899,14
21899,9
26055,4
26055,5
26055,0
26055,9
26055,3
7472,4
7472,10
7472,11
7472,12
7472,13
7472,14
7472,9
777,4
777,31
777,8
777,26
777,3
777,29
22535,4
22535,0
22535,31
22535,33
22535,14
22535,26
28735,0
28735,11
28735,36
12431,10
12431,14
12431,26
12431,20
12431,21
12431,22
12431,19
28805,5
28805,3
578,0
578,11
16894,10
16894,2
16894,9
16894,16
5028,10
5028,0
5028,1
5028,16
21,4
21,5
21,10
21,0
21,6
21,9
21,17
21,18
801,4
801,23
801,8
801,25
801,32
801,14
801,26
31933,4
31933,5
31933,10
31933,0
31933,9
31933,3
5205,4
5205,25
5205,1
5205,3
5205,15
17389,4
17389,11
17389,8
17389,26
170,10
170,0
170,2
170,9
170,16
10162,36
10162,20
10162,21
10162,22
18617,8
18617,2
32182,4
32182,10
32182,20
32182,21
32182,22
32182,3
877,10
877,0
877,24
877,1
877,30
877,20
877,21
877,22
2251,4
2251,10
2251,11
2251,25
2251,26
2251,3
24687,5
24687,6
24687,11
24687,25
24687,26
24687,20
24687,21
24687,22
24687,3
16498,4
16498,0
16498,6
16498,9
16498,17
16498,18
10030,10
10030,0
10030,1
10030,9
5941,10
5941,0
5941,1
5941,2
5941,16
30346,1
30346,2
30346,9
30346,37
30346,20
30346,21
30346,22
3784,4
3784,23
3784,14
13125,0
13125,31
13125,25
13125,14
13125,3
12029,4
12029,0
12029,8
12029,14
12029,19
14397,0
14397,38
14397,36
14397,20
14397,21
14397,22
14397,16
10087,4
10087,6
10087,3
14719,4
14719,5
14719,9
14719,3
14719,29
9756,0
9756,7
9756,33
9756,15
10165,10
10165,2
10165,20
10165,21
10165,22
13601,4
13601,32
13601,33
13601,14
22789,10
22789,20
22789,21
22789,22
30230,10
30230,2
30230,9
30230,16
18115,4
